Retailer,Retailer ID,Invoice Date,Region,City,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin (%),Sales Method
Adidas Bengaluru,RET-1211,2025-06-20,South,Bengaluru,Karnataka,Sports Cap,999,7,6993,1388.61,19.86,Online
Adidas Chennai,RET-1212,2025-06-30,South,Chennai,Tamil Nadu,Ultraboost 22,18999,23,436977,84128.53,19.25,Retail Store
Adidas Mumbai,RET-1213,2025-06-17,West,Mumbai,Maharashtra,Sports Cap,999,12,11988,1392.8,11.62,Retail Store
Adidas Mumbai,RET-1214,2025-06-09,West,Mumbai,Maharashtra,Adizero SL,11999,32,383968,87685.96,22.84,Online
Adidas Chennai,RET-1215,2025-06-25,South,Chennai,Tamil Nadu,Sports Cap,999,9,8991,1151.58,12.81,Retail Store
Adidas Bengaluru,RET-1216,2025-06-09,South,Bengaluru,Karnataka,Superstar,8999,17,152983,29807.75,19.48,Retail Store
Adidas Chennai,RET-1217,2025-06-24,South,Chennai,Tamil Nadu,Track Jacket,4999,50,249950,58963.96,23.59,Retail Store
Adidas Bengaluru,RET-1218,2025-06-22,South,Bengaluru,Karnataka,Superstar,8999,30,269970,50847.64,18.83,Retail Store
Adidas Delhi,RET-1219,2025-06-13,North,Delhi,Delhi,Ultraboost 22,18999,14,265986,62684.56,23.57,Online
Adidas Delhi,RET-1220,2025-06-12,North,Delhi,Delhi,Climacool T-shirt,2499,24,59976,13867.89,23.12,Retail Store
Adidas Kolkata,RET-1221,2025-06-18,East,Kolkata,West Bengal,Superstar,8999,35,314965,56852.69,18.05,Online
Adidas Delhi,RET-1222,2025-06-12,North,Delhi,Delhi,Track Jacket,4999,13,64987,9047.29,13.92,Online
Adidas Bengaluru,RET-1223,2025-06-08,South,Bengaluru,Karnataka,Climacool T-shirt,2499,32,79968,14668.71,18.34,Retail Store
Adidas Kolkata,RET-1224,2025-06-28,East,Kolkata,West Bengal,Superstar,8999,45,404955,47418.9,11.71,Retail Store
Adidas Mumbai,RET-1225,2025-06-09,West,Mumbai,Maharashtra,Sports Cap,999,40,39960,8064.21,20.18,Online
Adidas Mumbai,RET-1226,2025-06-09,West,Mumbai,Maharashtra,Climacool T-shirt,2499,19,47481,7578.65,15.96,Online
Adidas Kolkata,RET-1227,2025-06-22,East,Kolkata,West Bengal,Adizero SL,11999,43,515957,126789.65,24.57,Online
Adidas Delhi,RET-1228,2025-06-02,North,Delhi,Delhi,Superstar,8999,46,413954,98830.5,23.87,Retail Store
Adidas Bengaluru,RET-1229,2025-06-06,South,Bengaluru,Karnataka,Adizero SL,11999,14,167986,39434.92,23.48,Retail Store
Adidas Bengaluru,RET-1230,2025-06-29,South,Bengaluru,Karnataka,Track Jacket,4999,37,184963,42417.49,22.93,Online
Adidas Bengaluru,RET-1231,2025-06-20,South,Bengaluru,Karnataka,Climacool T-shirt,2499,44,109956,14505.43,13.19,Online
Adidas Bengaluru,RET-1232,2025-06-15,South,Bengaluru,Karnataka,Climacool T-shirt,2499,43,107457,16117.69,15.0,Retail Store
Adidas Chennai,RET-1233,2025-06-18,South,Chennai,Tamil Nadu,Track Jacket,4999,46,229954,50211.95,21.84,Retail Store
Adidas Kolkata,RET-1234,2025-06-28,East,Kolkata,West Bengal,Sports Cap,999,9,8991,1057.17,11.76,Retail Store
Adidas Delhi,RET-1235,2025-06-21,North,Delhi,Delhi,Sports Cap,999,21,20979,4534.22,21.61,Retail Store
Adidas Bengaluru,RET-1236,2025-06-01,South,Bengaluru,Karnataka,Track Jacket,4999,24,119976,15618.96,13.02,Retail Store
Adidas Chennai,RET-1237,2025-06-20,South,Chennai,Tamil Nadu,Superstar,8999,6,53994,5416.82,10.03,Online
Adidas Kolkata,RET-1238,2025-06-02,East,Kolkata,West Bengal,Climacool T-shirt,2499,37,92463,17050.77,18.44,Retail Store
Adidas Bengaluru,RET-1239,2025-06-19,South,Bengaluru,Karnataka,Superstar,8999,40,359960,74787.12,20.78,Online
Adidas Kolkata,RET-1240,2025-06-06,East,Kolkata,West Bengal,Sports Cap,999,24,23976,2524.48,10.53,Retail Store
Adidas Kolkata,RET-1241,2025-06-02,East,Kolkata,West Bengal,Sports Cap,999,6,5994,895.72,14.94,Retail Store
Adidas Chennai,RET-1242,2025-06-06,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,38,94962,10574.11,11.14,Retail Store
Adidas Bengaluru,RET-1243,2025-06-05,South,Bengaluru,Karnataka,Ultraboost 22,18999,44,835956,180183.85,21.55,Retail Store
Adidas Bengaluru,RET-1244,2025-06-22,South,Bengaluru,Karnataka,Adizero SL,11999,50,599950,88968.91,14.83,Retail Store
Adidas Kolkata,RET-1245,2025-06-06,East,Kolkata,West Bengal,Climacool T-shirt,2499,13,32487,5656.36,17.41,Retail Store
Adidas Bengaluru,RET-1246,2025-06-21,South,Bengaluru,Karnataka,Sports Cap,999,38,37962,6807.92,17.93,Retail Store
Adidas Mumbai,RET-1247,2025-06-01,West,Mumbai,Maharashtra,Ultraboost 22,18999,25,474975,108560.02,22.86,Retail Store
Adidas Delhi,RET-1248,2025-06-04,North,Delhi,Delhi,Ultraboost 22,18999,31,588969,133943.3,22.74,Retail Store
Adidas Bengaluru,RET-1249,2025-06-23,South,Bengaluru,Karnataka,Sports Cap,999,21,20979,5009.64,23.88,Online
Adidas Delhi,RET-1250,2025-06-13,North,Delhi,Delhi,Adizero SL,11999,43,515957,63104.14,12.23,Retail Store
Adidas Mumbai,RET-1251,2025-06-26,West,Mumbai,Maharashtra,Sports Cap,999,12,11988,1870.76,15.61,Online
Adidas Bengaluru,RET-1252,2025-06-29,South,Bengaluru,Karnataka,Superstar,8999,7,62993,7338.06,11.65,Retail Store
Adidas Mumbai,RET-1253,2025-06-26,West,Mumbai,Maharashtra,Adizero SL,11999,33,395967,97608.34,24.65,Retail Store
Adidas Chennai,RET-1254,2025-06-23,South,Chennai,Tamil Nadu,Ultraboost 22,18999,16,303984,34185.64,11.25,Online
Adidas Bengaluru,RET-1255,2025-06-23,South,Bengaluru,Karnataka,Superstar,8999,12,107988,23734.03,21.98,Online
Adidas Bengaluru,RET-1256,2025-06-18,South,Bengaluru,Karnataka,Ultraboost 22,18999,44,835956,125471.91,15.01,Retail Store
Adidas Bengaluru,RET-1257,2025-06-09,South,Bengaluru,Karnataka,Ultraboost 22,18999,18,341982,48602.8,14.21,Online
Adidas Kolkata,RET-1258,2025-06-08,East,Kolkata,West Bengal,Track Jacket,4999,35,174965,40182.62,22.97,Online
Adidas Chennai,RET-1259,2025-06-16,South,Chennai,Tamil Nadu,Adizero SL,11999,24,287976,30752.03,10.68,Retail Store
Adidas Mumbai,RET-1260,2025-06-24,West,Mumbai,Maharashtra,Track Jacket,4999,10,49990,8076.07,16.16,Retail Store
Adidas Bengaluru,RET-1261,2025-06-16,South,Bengaluru,Karnataka,Ultraboost 22,18999,21,398979,96954.93,24.3,Online
Adidas Kolkata,RET-1262,2025-06-27,East,Kolkata,West Bengal,Track Jacket,4999,9,44991,11238.45,24.98,Retail Store
Adidas Kolkata,RET-1263,2025-06-17,East,Kolkata,West Bengal,Ultraboost 22,18999,46,873954,102147.15,11.69,Online
Adidas Kolkata,RET-1264,2025-06-17,East,Kolkata,West Bengal,Ultraboost 22,18999,19,360981,51959.92,14.39,Online
Adidas Bengaluru,RET-1265,2025-06-18,South,Bengaluru,Karnataka,Ultraboost 22,18999,24,455976,91336.06,20.03,Online
Adidas Kolkata,RET-1266,2025-06-06,East,Kolkata,West Bengal,Ultraboost 22,18999,41,778959,167099.74,21.45,Retail Store
Adidas Mumbai,RET-1267,2025-06-01,West,Mumbai,Maharashtra,Sports Cap,999,50,49950,7930.66,15.88,Online
Adidas Bengaluru,RET-1268,2025-06-06,South,Bengaluru,Karnataka,Sports Cap,999,11,10989,1184.98,10.78,Retail Store
Adidas Mumbai,RET-1269,2025-06-06,West,Mumbai,Maharashtra,Ultraboost 22,18999,24,455976,60762.16,13.33,Online
Adidas Chennai,RET-1270,2025-06-13,South,Chennai,Tamil Nadu,Sports Cap,999,34,33966,8193.86,24.12,Online
Adidas Mumbai,RET-1271,2025-06-24,West,Mumbai,Maharashtra,Sports Cap,999,46,45954,7039.5,15.32,Online
Adidas Chennai,RET-1272,2025-06-29,South,Chennai,Tamil Nadu,Ultraboost 22,18999,16,303984,38539.53,12.68,Retail Store
Adidas Bengaluru,RET-1273,2025-06-09,South,Bengaluru,Karnataka,Ultraboost 22,18999,14,265986,47898.82,18.01,Retail Store
Adidas Bengaluru,RET-1274,2025-06-26,South,Bengaluru,Karnataka,Track Jacket,4999,33,164967,17571.44,10.65,Online
Adidas Chennai,RET-1275,2025-06-11,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,37,92463,18132.89,19.61,Online
Adidas Chennai,RET-1276,2025-06-05,South,Chennai,Tamil Nadu,Ultraboost 22,18999,34,645966,73747.2,11.42,Online
Adidas Bengaluru,RET-1277,2025-06-05,South,Bengaluru,Karnataka,Superstar,8999,46,413954,93434.05,22.57,Online
Adidas Delhi,RET-1278,2025-06-27,North,Delhi,Delhi,Climacool T-shirt,2499,5,12495,1254.15,10.04,Online
Adidas Bengaluru,RET-1279,2025-06-02,South,Bengaluru,Karnataka,Track Jacket,4999,33,164967,28745.59,17.43,Retail Store
Adidas Kolkata,RET-1280,2025-06-10,East,Kolkata,West Bengal,Ultraboost 22,18999,23,436977,76165.2,17.43,Online
Adidas Delhi,RET-1281,2025-06-25,North,Delhi,Delhi,Sports Cap,999,26,25974,2721.35,10.48,Online
Adidas Chennai,RET-1282,2025-06-08,South,Chennai,Tamil Nadu,Sports Cap,999,26,25974,5296.23,20.39,Retail Store
Adidas Mumbai,RET-1283,2025-06-30,West,Mumbai,Maharashtra,Superstar,8999,36,323964,43262.82,13.35,Retail Store
Adidas Chennai,RET-1284,2025-06-22,South,Chennai,Tamil Nadu,Sports Cap,999,14,13986,2632.22,18.82,Retail Store
Adidas Bengaluru,RET-1285,2025-06-04,South,Bengaluru,Karnataka,Superstar,8999,17,152983,32850.76,21.47,Retail Store
Adidas Delhi,RET-1286,2025-06-04,North,Delhi,Delhi,Track Jacket,4999,28,139972,34871.11,24.91,Online
Adidas Delhi,RET-1287,2025-06-16,North,Delhi,Delhi,Adizero SL,11999,19,227981,29635.42,13.0,Online
Adidas Kolkata,RET-1288,2025-06-03,East,Kolkata,West Bengal,Adizero SL,11999,7,83993,11346.67,13.51,Retail Store
Adidas Chennai,RET-1289,2025-06-24,South,Chennai,Tamil Nadu,Superstar,8999,17,152983,27635.73,18.06,Retail Store
Adidas Bengaluru,RET-1290,2025-06-17,South,Bengaluru,Karnataka,Track Jacket,4999,42,209958,30479.73,14.52,Online
Adidas Delhi,RET-1291,2025-06-15,North,Delhi,Delhi,Superstar,8999,5,44995,10274.0,22.83,Retail Store
Adidas Delhi,RET-1292,2025-06-26,North,Delhi,Delhi,Climacool T-shirt,2499,49,122451,24767.76,20.23,Retail Store
Adidas Kolkata,RET-1293,2025-06-27,East,Kolkata,West Bengal,Adizero SL,11999,18,215982,37345.86,17.29,Retail Store
Adidas Chennai,RET-1294,2025-06-27,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,46,114954,24448.73,21.27,Online
Adidas Bengaluru,RET-1295,2025-06-05,South,Bengaluru,Karnataka,Ultraboost 22,18999,9,170991,39085.48,22.86,Retail Store
Adidas Kolkata,RET-1296,2025-06-17,East,Kolkata,West Bengal,Ultraboost 22,18999,32,607968,123095.31,20.25,Online
Adidas Mumbai,RET-1297,2025-06-15,West,Mumbai,Maharashtra,Climacool T-shirt,2499,45,112455,14336.14,12.75,Retail Store
Adidas Kolkata,RET-1298,2025-06-12,East,Kolkata,West Bengal,Climacool T-shirt,2499,25,62475,10916.75,17.47,Online
Adidas Mumbai,RET-1299,2025-06-08,West,Mumbai,Maharashtra,Climacool T-shirt,2499,6,14994,2477.13,16.52,Online
Adidas Mumbai,RET-1300,2025-06-25,West,Mumbai,Maharashtra,Track Jacket,4999,18,89982,20914.48,23.24,Online
Adidas Delhi,RET-1301,2025-06-10,North,Delhi,Delhi,Adizero SL,11999,27,323973,61888.68,19.1,Online
Adidas Kolkata,RET-1302,2025-06-21,East,Kolkata,West Bengal,Ultraboost 22,18999,32,607968,61588.79,10.13,Online
Adidas Kolkata,RET-1303,2025-06-29,East,Kolkata,West Bengal,Climacool T-shirt,2499,20,49980,10552.18,21.11,Retail Store
Adidas Bengaluru,RET-1304,2025-06-03,South,Bengaluru,Karnataka,Adizero SL,11999,14,167986,37981.78,22.61,Online
Adidas Mumbai,RET-1305,2025-06-08,West,Mumbai,Maharashtra,Ultraboost 22,18999,23,436977,91163.62,20.86,Online
Adidas Delhi,RET-1306,2025-06-30,North,Delhi,Delhi,Ultraboost 22,18999,37,702963,172859.56,24.59,Online
Adidas Chennai,RET-1307,2025-06-20,South,Chennai,Tamil Nadu,Sports Cap,999,28,27972,6523.61,23.32,Online
Adidas Mumbai,RET-1308,2025-06-09,West,Mumbai,Maharashtra,Ultraboost 22,18999,37,702963,118868.09,16.91,Retail Store
Adidas Kolkata,RET-1309,2025-06-23,East,Kolkata,West Bengal,Track Jacket,4999,9,44991,9818.62,21.82,Retail Store
Adidas Kolkata,RET-1310,2025-06-19,East,Kolkata,West Bengal,Superstar,8999,33,296967,44430.33,14.96,Retail Store
Adidas Bengaluru,RET-1311,2025-06-02,South,Bengaluru,Karnataka,Sports Cap,999,25,24975,4088.17,16.37,Online
Adidas Mumbai,RET-1312,2025-06-12,West,Mumbai,Maharashtra,Adizero SL,11999,22,263978,44116.04,16.71,Retail Store
Adidas Chennai,RET-1313,2025-06-23,South,Chennai,Tamil Nadu,Superstar,8999,16,143984,15898.3,11.04,Retail Store
Adidas Mumbai,RET-1314,2025-06-02,West,Mumbai,Maharashtra,Sports Cap,999,35,34965,4401.41,12.59,Online
Adidas Kolkata,RET-1315,2025-06-01,East,Kolkata,West Bengal,Superstar,8999,18,161982,25445.61,15.71,Retail Store
Adidas Mumbai,RET-1316,2025-06-08,West,Mumbai,Maharashtra,Sports Cap,999,21,20979,3553.16,16.94,Retail Store
Adidas Delhi,RET-1317,2025-06-18,North,Delhi,Delhi,Sports Cap,999,21,20979,3376.29,16.09,Online
Adidas Bengaluru,RET-1318,2025-06-14,South,Bengaluru,Karnataka,Climacool T-shirt,2499,19,47481,11309.97,23.82,Online
Adidas Delhi,RET-1319,2025-06-17,North,Delhi,Delhi,Track Jacket,4999,15,74985,13203.64,17.61,Retail Store
Adidas Mumbai,RET-1320,2025-06-14,West,Mumbai,Maharashtra,Ultraboost 22,18999,28,531972,66510.39,12.5,Online
Adidas Delhi,RET-1321,2025-06-30,North,Delhi,Delhi,Climacool T-shirt,2499,37,92463,16659.69,18.02,Retail Store
Adidas Bengaluru,RET-1322,2025-06-10,South,Bengaluru,Karnataka,Climacool T-shirt,2499,31,77469,18289.97,23.61,Online
Adidas Bengaluru,RET-1323,2025-06-30,South,Bengaluru,Karnataka,Adizero SL,11999,47,563953,80546.08,14.28,Retail Store
Adidas Bengaluru,RET-1324,2025-06-19,South,Bengaluru,Karnataka,Sports Cap,999,18,17982,4018.82,22.35,Online
Adidas Kolkata,RET-1325,2025-06-21,East,Kolkata,West Bengal,Sports Cap,999,28,27972,4514.84,16.14,Online
Adidas Delhi,RET-1326,2025-06-24,North,Delhi,Delhi,Ultraboost 22,18999,38,721962,124681.86,17.27,Online
Adidas Chennai,RET-1327,2025-06-13,South,Chennai,Tamil Nadu,Track Jacket,4999,30,149970,26942.77,17.97,Online
Adidas Kolkata,RET-1328,2025-06-15,East,Kolkata,West Bengal,Climacool T-shirt,2499,35,87465,17065.5,19.51,Retail Store
Adidas Mumbai,RET-1329,2025-06-06,West,Mumbai,Maharashtra,Track Jacket,4999,29,144971,20320.02,14.02,Retail Store
Adidas Delhi,RET-1330,2025-06-18,North,Delhi,Delhi,Climacool T-shirt,2499,34,84966,10528.37,12.39,Retail Store
Adidas Bengaluru,RET-1331,2025-06-23,South,Bengaluru,Karnataka,Sports Cap,999,8,7992,1905.4,23.84,Online
Adidas Delhi,RET-1332,2025-06-16,North,Delhi,Delhi,Ultraboost 22,18999,45,854955,211338.92,24.72,Retail Store
Adidas Chennai,RET-1333,2025-06-03,South,Chennai,Tamil Nadu,Sports Cap,999,42,41958,10434.96,24.87,Retail Store
Adidas Bengaluru,RET-1334,2025-06-11,South,Bengaluru,Karnataka,Climacool T-shirt,2499,14,34986,3539.3,10.12,Retail Store
Adidas Delhi,RET-1335,2025-06-26,North,Delhi,Delhi,Sports Cap,999,47,46953,8477.87,18.06,Online
Adidas Chennai,RET-1336,2025-06-15,South,Chennai,Tamil Nadu,Superstar,8999,22,197978,25722.62,12.99,Online
Adidas Bengaluru,RET-1337,2025-06-12,South,Bengaluru,Karnataka,Climacool T-shirt,2499,42,104958,16121.06,15.36,Retail Store
Adidas Chennai,RET-1338,2025-06-17,South,Chennai,Tamil Nadu,Sports Cap,999,44,43956,6454.36,14.68,Retail Store
Adidas Bengaluru,RET-1339,2025-06-15,South,Bengaluru,Karnataka,Climacool T-shirt,2499,32,79968,18700.19,23.38,Retail Store
Adidas Delhi,RET-1340,2025-06-26,North,Delhi,Delhi,Superstar,8999,10,89990,18880.42,20.98,Online
Adidas Mumbai,RET-1341,2025-06-29,West,Mumbai,Maharashtra,Sports Cap,999,49,48951,9502.4,19.41,Online
Adidas Delhi,RET-1342,2025-06-28,North,Delhi,Delhi,Ultraboost 22,18999,27,512973,72938.63,14.22,Retail Store
Adidas Delhi,RET-1343,2025-06-15,North,Delhi,Delhi,Superstar,8999,9,80991,9031.45,11.15,Retail Store
Adidas Delhi,RET-1344,2025-06-21,North,Delhi,Delhi,Track Jacket,4999,27,134973,29097.54,21.56,Retail Store
Adidas Bengaluru,RET-1345,2025-06-20,South,Bengaluru,Karnataka,Sports Cap,999,28,27972,2857.0,10.21,Online
Adidas Bengaluru,RET-1346,2025-06-19,South,Bengaluru,Karnataka,Superstar,8999,24,215976,45067.61,20.87,Online
Adidas Bengaluru,RET-1347,2025-06-19,South,Bengaluru,Karnataka,Climacool T-shirt,2499,46,114954,24893.74,21.66,Retail Store
Adidas Delhi,RET-1348,2025-06-25,North,Delhi,Delhi,Sports Cap,999,5,4995,748.59,14.99,Retail Store
Adidas Bengaluru,RET-1349,2025-06-06,South,Bengaluru,Karnataka,Adizero SL,11999,29,347971,79575.99,22.87,Retail Store
Adidas Chennai,RET-1350,2025-06-05,South,Chennai,Tamil Nadu,Track Jacket,4999,12,59988,13376.58,22.3,Online
Adidas Mumbai,RET-1351,2025-06-22,West,Mumbai,Maharashtra,Climacool T-shirt,2499,26,64974,10104.9,15.55,Retail Store
Adidas Bengaluru,RET-1352,2025-06-27,South,Bengaluru,Karnataka,Climacool T-shirt,2499,26,64974,15196.01,23.39,Retail Store
Adidas Mumbai,RET-1353,2025-06-01,West,Mumbai,Maharashtra,Sports Cap,999,34,33966,5621.04,16.55,Retail Store
Adidas Bengaluru,RET-1354,2025-06-21,South,Bengaluru,Karnataka,Climacool T-shirt,2499,34,84966,12311.95,14.49,Retail Store
Adidas Chennai,RET-1355,2025-06-02,South,Chennai,Tamil Nadu,Track Jacket,4999,42,209958,43656.06,20.79,Online
Adidas Kolkata,RET-1356,2025-06-10,East,Kolkata,West Bengal,Track Jacket,4999,13,64987,15944.44,24.53,Online
Adidas Mumbai,RET-1357,2025-06-05,West,Mumbai,Maharashtra,Superstar,8999,39,350961,76318.2,21.75,Retail Store
Adidas Kolkata,RET-1358,2025-06-07,East,Kolkata,West Bengal,Adizero SL,11999,22,263978,52893.48,20.04,Online
Adidas Mumbai,RET-1359,2025-06-10,West,Mumbai,Maharashtra,Sports Cap,999,47,46953,9939.03,21.17,Online
Adidas Bengaluru,RET-1360,2025-06-17,South,Bengaluru,Karnataka,Ultraboost 22,18999,20,379980,55216.21,14.53,Online
Adidas Mumbai,RET-1361,2025-06-12,West,Mumbai,Maharashtra,Track Jacket,4999,15,74985,16475.56,21.97,Retail Store
Adidas Delhi,RET-1362,2025-06-07,North,Delhi,Delhi,Superstar,8999,33,296967,55451.05,18.67,Online
Adidas Bengaluru,RET-1363,2025-06-07,South,Bengaluru,Karnataka,Superstar,8999,12,107988,23415.01,21.68,Retail Store
Adidas Mumbai,RET-1364,2025-06-02,West,Mumbai,Maharashtra,Superstar,8999,23,206977,32246.91,15.58,Online
Adidas Chennai,RET-1365,2025-06-08,South,Chennai,Tamil Nadu,Ultraboost 22,18999,29,550971,126444.75,22.95,Retail Store
Adidas Kolkata,RET-1366,2025-06-09,East,Kolkata,West Bengal,Sports Cap,999,19,18981,4093.19,21.56,Online
Adidas Kolkata,RET-1367,2025-06-21,East,Kolkata,West Bengal,Adizero SL,11999,24,287976,38304.14,13.3,Online
Adidas Delhi,RET-1368,2025-06-28,North,Delhi,Delhi,Climacool T-shirt,2499,8,19992,4063.29,20.32,Online
Adidas Kolkata,RET-1369,2025-06-14,East,Kolkata,West Bengal,Adizero SL,11999,19,227981,35037.4,15.37,Online
Adidas Mumbai,RET-1370,2025-06-23,West,Mumbai,Maharashtra,Ultraboost 22,18999,37,702963,126547.59,18.0,Retail Store
Adidas Bengaluru,RET-1371,2025-06-01,South,Bengaluru,Karnataka,Adizero SL,11999,44,527956,96105.35,18.2,Online
Adidas Delhi,RET-1372,2025-06-10,North,Delhi,Delhi,Climacool T-shirt,2499,30,74970,8757.97,11.68,Retail Store
Adidas Mumbai,RET-1373,2025-06-28,West,Mumbai,Maharashtra,Climacool T-shirt,2499,47,117453,27123.99,23.09,Retail Store
Adidas Mumbai,RET-1374,2025-06-21,West,Mumbai,Maharashtra,Adizero SL,11999,35,419965,100066.79,23.83,Retail Store
Adidas Delhi,RET-1375,2025-06-06,North,Delhi,Delhi,Track Jacket,4999,35,174965,29643.33,16.94,Online
Adidas Bengaluru,RET-1376,2025-06-13,South,Bengaluru,Karnataka,Superstar,8999,46,413954,101499.97,24.52,Retail Store
Adidas Bengaluru,RET-1377,2025-06-29,South,Bengaluru,Karnataka,Sports Cap,999,44,43956,8753.61,19.91,Online
Adidas Bengaluru,RET-1378,2025-06-13,South,Bengaluru,Karnataka,Sports Cap,999,32,31968,5070.7,15.86,Retail Store
Adidas Delhi,RET-1379,2025-06-18,North,Delhi,Delhi,Sports Cap,999,22,21978,5088.9,23.15,Retail Store
Adidas Bengaluru,RET-1380,2025-06-26,South,Bengaluru,Karnataka,Sports Cap,999,35,34965,4230.92,12.1,Online
Adidas Chennai,RET-1381,2025-06-04,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,21,52479,13046.72,24.86,Retail Store
Adidas Bengaluru,RET-1382,2025-06-25,South,Bengaluru,Karnataka,Track Jacket,4999,21,104979,13533.23,12.89,Online
Adidas Delhi,RET-1383,2025-06-21,North,Delhi,Delhi,Ultraboost 22,18999,48,911952,189830.33,20.82,Retail Store
Adidas Chennai,RET-1384,2025-06-19,South,Chennai,Tamil Nadu,Track Jacket,4999,31,154969,26829.44,17.31,Retail Store
Adidas Bengaluru,RET-1385,2025-06-07,South,Bengaluru,Karnataka,Adizero SL,11999,33,395967,88258.49,22.29,Online
Adidas Delhi,RET-1386,2025-06-29,North,Delhi,Delhi,Superstar,8999,42,377958,87984.17,23.28,Retail Store
Adidas Bengaluru,RET-1387,2025-06-01,South,Bengaluru,Karnataka,Ultraboost 22,18999,17,322983,61064.86,18.91,Retail Store
Adidas Kolkata,RET-1388,2025-06-02,East,Kolkata,West Bengal,Track Jacket,4999,28,139972,14209.09,10.15,Online
Adidas Mumbai,RET-1389,2025-06-23,West,Mumbai,Maharashtra,Adizero SL,11999,13,155987,36582.99,23.45,Online
Adidas Chennai,RET-1390,2025-06-11,South,Chennai,Tamil Nadu,Adizero SL,11999,35,419965,67247.95,16.01,Retail Store
Adidas Kolkata,RET-1391,2025-06-13,East,Kolkata,West Bengal,Ultraboost 22,18999,21,398979,48840.19,12.24,Retail Store
Adidas Delhi,RET-1392,2025-06-10,North,Delhi,Delhi,Ultraboost 22,18999,13,246987,43189.51,17.49,Retail Store
Adidas Mumbai,RET-1393,2025-06-08,West,Mumbai,Maharashtra,Ultraboost 22,18999,37,702963,111538.73,15.87,Retail Store
Adidas Delhi,RET-1394,2025-06-26,North,Delhi,Delhi,Adizero SL,11999,15,179985,31496.29,17.5,Online
Adidas Bengaluru,RET-1395,2025-06-19,South,Bengaluru,Karnataka,Track Jacket,4999,38,189962,24646.85,12.97,Online
Adidas Kolkata,RET-1396,2025-06-07,East,Kolkata,West Bengal,Climacool T-shirt,2499,45,112455,27970.04,24.87,Retail Store
Adidas Chennai,RET-1397,2025-06-23,South,Chennai,Tamil Nadu,Superstar,8999,17,152983,36435.59,23.82,Retail Store
Adidas Bengaluru,RET-1398,2025-06-24,South,Bengaluru,Karnataka,Ultraboost 22,18999,48,911952,115022.14,12.61,Retail Store
Adidas Chennai,RET-1399,2025-06-06,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,49,122451,23474.69,19.17,Online
Adidas Mumbai,RET-1400,2025-06-09,West,Mumbai,Maharashtra,Ultraboost 22,18999,6,113994,26456.97,23.21,Online
Adidas Mumbai,RET-1401,2025-06-28,West,Mumbai,Maharashtra,Sports Cap,999,45,44955,8054.14,17.92,Retail Store
Adidas Bengaluru,RET-1402,2025-06-08,South,Bengaluru,Karnataka,Ultraboost 22,18999,22,417978,71435.02,17.09,Online
Adidas Delhi,RET-1403,2025-06-19,North,Delhi,Delhi,Sports Cap,999,23,22977,3120.02,13.58,Retail Store
Adidas Kolkata,RET-1404,2025-06-05,East,Kolkata,West Bengal,Track Jacket,4999,40,199960,47613.11,23.81,Retail Store
Adidas Delhi,RET-1405,2025-06-10,North,Delhi,Delhi,Sports Cap,999,8,7992,1558.23,19.5,Online
Adidas Delhi,RET-1406,2025-06-02,North,Delhi,Delhi,Track Jacket,4999,38,189962,43211.22,22.75,Retail Store
Adidas Mumbai,RET-1407,2025-06-20,West,Mumbai,Maharashtra,Climacool T-shirt,2499,40,99960,16214.41,16.22,Online
Adidas Delhi,RET-1408,2025-06-13,North,Delhi,Delhi,Sports Cap,999,35,34965,8251.51,23.6,Online
Adidas Delhi,RET-1409,2025-06-24,North,Delhi,Delhi,Adizero SL,11999,36,431964,80449.43,18.62,Online
Adidas Mumbai,RET-1410,2025-06-10,West,Mumbai,Maharashtra,Superstar,8999,45,404955,61603.52,15.21,Online
Adidas Delhi,RET-1411,2025-06-05,North,Delhi,Delhi,Superstar,8999,27,242973,34493.86,14.2,Retail Store
Adidas Mumbai,RET-1412,2025-06-10,West,Mumbai,Maharashtra,Track Jacket,4999,11,54989,8003.49,14.55,Online
Adidas Chennai,RET-1413,2025-06-07,South,Chennai,Tamil Nadu,Sports Cap,999,18,17982,1991.73,11.08,Retail Store
Adidas Delhi,RET-1414,2025-06-05,North,Delhi,Delhi,Sports Cap,999,34,33966,3677.53,10.83,Online
Adidas Mumbai,RET-1415,2025-06-13,West,Mumbai,Maharashtra,Ultraboost 22,18999,17,322983,41746.33,12.93,Online
Adidas Kolkata,RET-1416,2025-06-08,East,Kolkata,West Bengal,Climacool T-shirt,2499,14,34986,7083.56,20.25,Retail Store
Adidas Bengaluru,RET-1417,2025-06-27,South,Bengaluru,Karnataka,Adizero SL,11999,7,83993,15472.51,18.42,Retail Store
Adidas Delhi,RET-1418,2025-06-20,North,Delhi,Delhi,Track Jacket,4999,20,99980,23084.04,23.09,Retail Store
Adidas Kolkata,RET-1419,2025-06-19,East,Kolkata,West Bengal,Superstar,8999,46,413954,71034.08,17.16,Retail Store
Adidas Bengaluru,RET-1420,2025-06-19,South,Bengaluru,Karnataka,Climacool T-shirt,2499,9,22491,2358.53,10.49,Retail Store
